inquiry_id,title,content_preview,author_id,create_date,status,is_pinned,inquiry_type,answerability,answerability_reason,confidence,required_contexts,has_past_response,can_agent_respond,response_pattern,consistency_recommendation,has_attachment,attachment_analysis_needed,language,is_multilingual,admin_response_summary,num_comments,num_admin_comments
9,문의하기 작성 가이드,"안녕하세요.AI Talent Lab 운영 담당자입니다.AI Literacy, AI Bootcamp, AI Master Project 를 진행하는 과정에서문의주시는 내용들을 자산화하고 함께 공유하기 위해""문의하기"" 페이지를 신규 개설하였습니다.이에 빠른 답변 및 조치를 받으실 수 있도록 간단한 작성 가이드를 안내드리니참고하시어 학습 중 필요하실 때 언제든 이",2,2025-12-14 11:51:20,open,1,기술지원/에러,조건부 답변 가능,"일반적인 에러 해결 가이드 제공 가능, 단 개인 환경 확인 필요할 수 있음",중간,"FAQ 데이터베이스 | 과거 문의 답변 히스토리 | 시스템 에러 로그 | 일반적인 에러 해결 가이드 | 환경 설정 정보 (Python 버전, 라이브러리 버전 등) | API 키 설정 가이드",False,unknown,N/A,N/A,False,False,Korean,False,,0,0
11,인증시험 버튼이 비활성화 되어있습니다. ,인증 시작하기 버튼이 비활성화 되어 인증시험을 칠 수없습니다.,8540,2025-12-14 13:29:47,closed,0,계정/권한,답변 불가능,개인 계정/시스템 조치 필요 (운영자 직접 처리),높음,"FAQ 데이터베이스 | 과거 문의 답변 히스토리 | 사용자 계정 정보 (권한, 그룹, 인증 대상 여부) | 인증 시험 일정 및 대상자 정보 | 사용자별 활성화된 기능 목록 | 첨부 이미지 분석 (스크린샷 내용 파악)",True,False,단순_조치_완료,"과거 응답 참조하여 ""조치 완료"" 패턴 유지 가능, 단 Agent는 실제 조치 불가능하므로 운영자 에스컬레이션 필요",True,True,Korean,False,안녕하세요! 조치해드렸습니다.,1,1
12,[AI Literacy] 인증 시작하기 버튼 비활성화,[AI Literacy] 인증 시작하기 버튼 활성화가 안됩니다.확인 부탁드립니다.,1512,2025-12-16 00:49:21,closed,0,계정/권한,답변 가능,"유사 사례 존재, 명확한 가이드라인 제공 가능",높음,"FAQ 데이터베이스 | 과거 문의 답변 히스토리 | 사용자 계정 정보 (권한, 그룹, 인증 대상 여부) | 인증 시험 일정 및 대상자 정보 | 사용자별 활성화된 기능 목록 | 첨부 이미지 분석 (스크린샷 내용 파악)",True,False,단순_조치_완료,"과거 응답 참조하여 ""조치 완료"" 패턴 유지 가능, 단 Agent는 실제 조치 불가능하므로 운영자 에스컬레이션 필요",True,True,Korean,False,안녕하세요.AI Literacy 인증 시작하기 버튼은 인증 시험 응시자 대상으로 기간 내 활성화됩니다.인증 대상자 안내를 받지 않으셨다면 비활성화 상태가 정상 상태입니다.,1,1
13,console 접근/python script 실행이 안됩니다.,위와 같은 에러가 나오면서 파일 실행이 안됩니다.모든 파이썬 코드 작성 부분에서 동일한 에러가 나옵니다.,8137,2025-12-17 07:37:03,closed,0,기술지원/에러,답변 불가능,개인 계정/시스템 조치 필요 (운영자 직접 처리),높음,"FAQ 데이터베이스 | 과거 문의 답변 히스토리 | 시스템 에러 로그 | 일반적인 에러 해결 가이드 | 환경 설정 정보 (Python 버전, 라이브러리 버전 등) | API 키 설정 가이드 | 첨부 이미지 분석 (스크린샷 내용 파악)",True,conditional,단순_조치_완료,Agent가 답변 가능 여부는 문의 구체성에 따라 판단 필요,True,True,Korean,False,안녕하세요 조치 완료했습니다.,1,1
14,[Boot Camp] 최종 과제 제출 관련 문의 - 2단계(개발 명세서) 저장 이후 수정 가능 여부,"최종 과제 단계에서 1,2,3 단계가 있는데, 2단계(명세서)를 제출하고 3단계(코딩/개발)로 넘어가도.이후에 돌아와서 다시 수정 할 수 있나요?3단계 가이드/설명을 미리 보고 싶어서 문의 드립니다.",8137,2025-12-17 07:39:52,closed,0,학습/과제,답변 가능,FAQ 또는 가이드 문서 기반 답변 가능,높음,FAQ 데이터베이스 | 과거 문의 답변 히스토리 | 강의 커리큘럼 정보 | 과제 제출 규정 및 가이드 | 코드 예제 및 샘플 | 학습 자료 링크 | 첨부 이미지 분석 (스크린샷 내용 파악),True,True,상세_설명,과거 응답 스타일을 학습하여 유사한 톤과 형식으로 답변 가능,False,False,Korean,False,안녕하세요.최종과제의 기획 설계 문서와  소스코드는 여러번 제출 가능하십니다.,1,1
15,Azure OpenAI & LangChain 과제 개발 문의,과제 개발 관련 문의 드립니다.main.py 작성하여 실행하니 No such file or directory 라고 나오네요.콘솔 로그의 다음 로그로 보아 초기에 폴더가 제대로 생성이 안된듯 보입니다.-bash: /home/funnywork.0181/.bash_profile: Permission denied-bash: cd: 243: No such file ,8660,2025-12-18 04:38:20,closed,0,학습/과제,답변 불가능,개인 계정/시스템 조치 필요 (운영자 직접 처리),높음,FAQ 데이터베이스 | 과거 문의 답변 히스토리 | 강의 커리큘럼 정보 | 과제 제출 규정 및 가이드 | 코드 예제 및 샘플 | 학습 자료 링크 | 첨부 이미지 분석 (스크린샷 내용 파악),True,True,상세_설명,과거 응답 스타일을 학습하여 유사한 톤과 형식으로 답변 가능,True,True,Korean,False,안녕하세요 조치 완료했습니다.,1,1
16,[Boot Camp] RAG 강의 Generation - Retriever 관련 질문,"마지막 코드 부분의 retriever.invoke 라는 함수가 없이, 그냥 retriever 객체만 Prompt 아래 context 쪽에 넣어주면, langchain이 자동으로 invoke를 하고 해당 내용을 종합해서 답변을 하는 구조인가요?",8137,2025-12-19 01:28:00,closed,0,학습/과제,답변 가능,"유사 사례 존재, 명확한 가이드라인 제공 가능",높음,FAQ 데이터베이스 | 과거 문의 답변 히스토리 | 강의 커리큘럼 정보 | 과제 제출 규정 및 가이드 | 코드 예제 및 샘플 | 학습 자료 링크 | 첨부 이미지 분석 (스크린샷 내용 파악),True,True,상세_설명,과거 응답 스타일을 학습하여 유사한 톤과 형식으로 답변 가능,True,True,Korean,False,네 chain.invoke(question)을 호출하면 선언한 chain 안의 객체들에 대해 invoke 후 차례로 해당 output을 다음 객체에 전달하게 됩니다.retrieve,2,1
17,[Bootcamp] 9기 최종과제 평가결과,안녕하세요.AI Bootcamp 9기 평가 결과를 언제쯤 확인할 수 있는지 문의드립니다.,8048,2025-12-19 07:48:13,closed,0,학습/과제,답변 가능,"유사 사례 존재, 명확한 가이드라인 제공 가능",높음,FAQ 데이터베이스 | 과거 문의 답변 히스토리 | 강의 커리큘럼 정보 | 과제 제출 규정 및 가이드 | 코드 예제 및 샘플 | 학습 자료 링크 | 첨부 이미지 분석 (스크린샷 내용 파악),True,True,가이드_제공,과거 응답 스타일을 학습하여 유사한 톤과 형식으로 답변 가능,False,False,Korean,False,"안녕하세요. AI Bootcamp 9기 최종 결과 발표는 12월 22일 17:00 예정입니다.결과 발표 후 확인이 가능한 시점에 이메일, Slack 채널로 안내됩니다.",1,1
18,AI Literacy의 인증 시작하기 버튼 비활성화,AI Literacy의 인증 시작하기 버튼 비활성화되어 있습니다.,3518,2025-12-22 06:54:01,closed,0,계정/권한,답변 가능,"유사 사례 존재, 명확한 가이드라인 제공 가능",높음,"FAQ 데이터베이스 | 과거 문의 답변 히스토리 | 사용자 계정 정보 (권한, 그룹, 인증 대상 여부) | 인증 시험 일정 및 대상자 정보 | 사용자별 활성화된 기능 목록 | 첨부 이미지 분석 (스크린샷 내용 파악)",True,False,단순_조치_완료,"과거 응답 참조하여 ""조치 완료"" 패턴 유지 가능, 단 Agent는 실제 조치 불가능하므로 운영자 에스컬레이션 필요",True,True,Korean,False,안녕하세요.AI Literacy 인증 시작하기 버튼은 인증 시험 응시자 대상으로 응시 기간 내 활성화됩니다.인증 대상자 안내를 받지 않으셨다면 비활성화 상태가 기본값입니다.,1,1
19,[Boot Camp] Sub-Graph 구조 관련 문의,"최근 멀티 에이전트 워크플로우를 학습하며, 공통 로직을 agent.py로 추상화하는 방식을 익혔습니다. 하지만 실제 프로젝트에서는 PDF 파싱, 요약, RAG 등 각 에이전트가 서로 다른 복잡도의 Sub-graph를 가져야 하는 경우가 많습니다.이처럼 에이전트별로 내부 로직과 의존성이 판이하게 다를 때, 코드의 재사용성을 유지하면서도 각 에이전트의 독립성을",8137,2025-12-23 23:11:02,closed,0,학습/과제,답변 가능,"유사 사례 존재, 명확한 가이드라인 제공 가능",높음,FAQ 데이터베이스 | 과거 문의 답변 히스토리 | 강의 커리큘럼 정보 | 과제 제출 규정 및 가이드 | 코드 예제 및 샘플 | 학습 자료 링크 | 첨부 이미지 분석 (스크린샷 내용 파악),True,True,상세_설명,과거 응답 스타일을 학습하여 유사한 톤과 형식으로 답변 가능,True,True,Korean,False,"안녕하세요! 좋은 질문을 주셨네요.사실 명확한 Best Practice 폴더구조는 정의하기 어렵고 프로젝트 상황에 따라 유연하게 대처하는 것이 일반적입니다.특히 langchain,",1,1
20,IDE 사용법 가이드 부탁드립니다.,Azure Open AI & LangChain 과제 진행하고 있는데 IDE 환경에서 실행시키는 방법과 에러 Tracking 방법 설명이 필요합니다.Streamlit에 아무것도 안 나오면 무엇이 잘못되었는지Streamlit에 출력하려면 어떻게 하는지도 궁금합니다.,1792,2025-12-24 00:28:47,closed,0,기술지원/에러,답변 가능,"유사 사례 존재, 명확한 가이드라인 제공 가능",높음,"FAQ 데이터베이스 | 과거 문의 답변 히스토리 | 시스템 에러 로그 | 일반적인 에러 해결 가이드 | 환경 설정 정보 (Python 버전, 라이브러리 버전 등) | API 키 설정 가이드 | 첨부 이미지 분석 (스크린샷 내용 파악)",True,conditional,상세_설명,Agent가 답변 가능 여부는 문의 구체성에 따라 판단 필요,False,False,Korean,False,안녕하세요.웹사이트 내 IDE의 하단 console을 사용해 파이썬 파일 실행 및 동일 console 내에서 결과 확인이 가능합니다.Streamlit 실행의 경우 Streamlit,1,1
21,과제 수정중 아래와 같은 현상이 발생 했습니다 .  확인 부탁드립니다 . ,,3508,2025-12-24 08:49:04,closed,0,학습/과제,답변 가능,"유사 사례 존재, 명확한 가이드라인 제공 가능",높음,FAQ 데이터베이스 | 과거 문의 답변 히스토리 | 강의 커리큘럼 정보 | 과제 제출 규정 및 가이드 | 코드 예제 및 샘플 | 학습 자료 링크 | 첨부 이미지 분석 (스크린샷 내용 파악),True,True,상세_설명,과거 응답 스타일을 학습하여 유사한 톤과 형식으로 답변 가능,False,False,Korean,False,안녕하세요.현재 정상 상태로 확인됩니다.일시적으로 서버가 불안정하거나 보안으로 인해 해당 메시지가 뜬 것으로 보입니다.IDE 콘솔 접속은 웹소켓 사용이 가능한 환경이여야 합니다. ,1,1
22,[Boot Camp] 무한 로딩이 되고 있습니다 - 파이널 과제 제출,"IDE에서 파이썬 패키지가 제 로컬에서 작업하던 것과 달라서 venv deactivate 시키고, 따로 .venv를 만들고 패키지 설치후 실행한 이후에 무한 로딩이 걸리고 있습니다.로컬에서는 잘 돌아가서 step 3에서는 코드만 제출하고 step2에서 데모 영상으로 제출해도 될까요?step3 IDE에서 streamlit으로 실행하려니 병목이 생깁니다...!",8137,2025-12-29 23:28:33,closed,0,학습/과제,답변 가능,"유사 사례 존재, 명확한 가이드라인 제공 가능",높음,FAQ 데이터베이스 | 과거 문의 답변 히스토리 | 강의 커리큘럼 정보 | 과제 제출 규정 및 가이드 | 코드 예제 및 샘플 | 학습 자료 링크 | 첨부 이미지 분석 (스크린샷 내용 파악),True,True,상세_설명,과거 응답 스타일을 학습하여 유사한 톤과 형식으로 답변 가능,True,True,Korean,False,안녕하세요사이트 내에서 자동 설정되는 가상환경이 설치된 디스크와 과제 IDE의 파일 디스크의 사양이 달라 가상환경을 직접 만들고 실행 시 속도가 느리거나 로딩에 시간이 소요될 수 ,3,2
23,Bootcamp 최종과제 기획 및 설계 최초 양식 문의,AI Bootcamp 최종과제 기획 및 설계 최초 양식을 다시 받을 수 있을지 문의드립니다.작성중에 저장을 했는데 일부 내용이 삭제되어 양식 초본이 필요합니다.감사합니다.,4100,2025-12-31 07:34:59,closed,0,학습/과제,답변 가능,"유사 사례 존재, 명확한 가이드라인 제공 가능",높음,FAQ 데이터베이스 | 과거 문의 답변 히스토리 | 강의 커리큘럼 정보 | 과제 제출 규정 및 가이드 | 코드 예제 및 샘플 | 학습 자료 링크 | 첨부 이미지 분석 (스크린샷 내용 파악),True,True,상세_설명,과거 응답 스타일을 학습하여 유사한 톤과 형식으로 답변 가능,False,False,Korean,False,"안녕하세요 최종 과제 기획 내용입니다.사이트 내 과제 페이지는 markdown 에디터로 문의 게시판 에디터와 다른 점 양해 부탁드립니다.[서비스명 - 이름]
예: AI Tech. ",1,1
24,3개의 강의를 완료하면 과제를 시작할 수 있다고 했는데 안되요,3개의 강의를 완료하면 과제를 시작할 수 있습니다라고 되어있는데 3개 강의 모두 완료했는데 과제를 할 수 있게 활성화가 안되네요?다 들어야 되나요?,2045,2026-01-02 00:48:29,closed,0,계정/권한,답변 불가능,개인 계정 확인 및 시스템 조치 필요,높음,"FAQ 데이터베이스 | 과거 문의 답변 히스토리 | 사용자 계정 정보 (권한, 그룹, 인증 대상 여부) | 인증 시험 일정 및 대상자 정보 | 사용자별 활성화된 기능 목록",True,False,단순_조치_완료,"과거 응답 참조하여 ""조치 완료"" 패턴 유지 가능, 단 Agent는 실제 조치 불가능하므로 운영자 에스컬레이션 필요",False,False,Korean,False,안녕하세요최종 과제는 6개의 강의를 모두 수강완료해야 진행할 수 있습니다.,1,1
25,streamlit 서비스 개발 강의 중 실습 실행이 안됩니다. --> [정정] 재실행 시 정상 실행됩니다.,환경의 문제인지는 잘 모르겠지만 오후까지 안되다가지금은 정상적으로 동작합니다.아래 내용 답변 안 주셔도 됩니다.---------------------------------------[실습] LangChain과 Streamlit으로 구현하는 AI 토론 코드를 실행시키면 아래와 같은 메시지가 나옵니다.어떻게 처리해야 하는지 알려주세요,1792,2026-01-02 07:35:08,closed,0,학습/과제,답변 가능,"유사 사례 존재, 명확한 가이드라인 제공 가능",높음,FAQ 데이터베이스 | 과거 문의 답변 히스토리 | 강의 커리큘럼 정보 | 과제 제출 규정 및 가이드 | 코드 예제 및 샘플 | 학습 자료 링크,True,True,상세_설명,과거 응답 스타일을 학습하여 유사한 톤과 형식으로 답변 가능,False,False,Korean,False,안녕하세요.최근 배포 시 streamlit 실행 경로 변경으로 인해 가상환경이 작동하지 않은 것 같습니다.수정 배포 완료했습니다. 이후 에러 발생 시 말씀부탁드립니다.,1,1
26,과제 제출 완료 시점 문의,안녕하세요? 과제 제출 완료 시점도 1월 9일까지인가요?,2985,2026-01-02 08:41:36,closed,0,학습/과제,답변 가능,FAQ 또는 가이드 문서 기반 답변 가능,높음,FAQ 데이터베이스 | 과거 문의 답변 히스토리 | 강의 커리큘럼 정보 | 과제 제출 규정 및 가이드 | 코드 예제 및 샘플 | 학습 자료 링크 | 첨부 이미지 분석 (스크린샷 내용 파악),True,True,상세_설명,과거 응답 스타일을 학습하여 유사한 톤과 형식으로 답변 가능,False,False,Korean,False,안녕하세요.1월 9일 23:59 과제제출 마감입니다.,1,1
27,실습 파일 다운로드할 수 있게 공유 부탁 드립니다. ,실습 환경이 불편해서 로컬에서 실습하고 있는데요. RAG 이론 실습 부터 갑자기 파일이 많아 지네요. 주피터 노트북 파일과 실습 파일을 다운로드할 수 있게 공유 가능하신가요?추가로 기한내에 과제를 제출 못해서 이수를 못하면 컬리지에서 재수강을 따로 신청해야 하나요? 아니면자동으로 재수강 신청이 되나요?,2985,2026-01-02 14:09:17,closed,0,학습/과제,답변 가능,"유사 사례 존재, 명확한 가이드라인 제공 가능",높음,FAQ 데이터베이스 | 과거 문의 답변 히스토리 | 강의 커리큘럼 정보 | 과제 제출 규정 및 가이드 | 코드 예제 및 샘플 | 학습 자료 링크,True,True,상세_설명,과거 응답 스타일을 학습하여 유사한 톤과 형식으로 답변 가능,False,False,Korean,False,안녕하세요.주피터 파일은 공유를 따로 드리지 않고 있으며 웹 환경 내에서 실습 부탁드립니다.코드 에디터를 사용하여 진행되는 강의나 최종과제의 작성된 소스 코드는 에디터 내 다운로드,1,1
28,"최종 과제 영역에 "" 3개의 강의를 완료하면 과제를 시작할 수 있습니다""를 ""전체 강의""로 변경 요청","최종 과제 화면 영역에 Comment ""3개의 강의를 완료하면 과제를 시작할 수 있습니다""를""6개의 전체 강의를 완료하면 과제를 시작할 수 있습니다""로 변경해 주세요.",2045,2026-01-02 21:05:13,closed,0,학습/과제,답변 가능,"유사 사례 존재, 명확한 가이드라인 제공 가능",높음,FAQ 데이터베이스 | 과거 문의 답변 히스토리 | 강의 커리큘럼 정보 | 과제 제출 규정 및 가이드 | 코드 예제 및 샘플 | 학습 자료 링크 | 첨부 이미지 분석 (스크린샷 내용 파악),True,True,가이드_제공,과거 응답 스타일을 학습하여 유사한 톤과 형식으로 답변 가능,False,False,Korean,False,안녕하세요.현재 최종 과제 안내 Comment는 최종과제 수행까지 남은 강의의 개수가 표시되고 있습니다. 현재 문구에 혼동이 있을 수 있여 해당 문구는 다음 배포 작업 시 수정하도,1,1
29,[AI Bootcamp] 다음 강의 수강 불가,강의 완료 후 다음 강의 수강이 불가합니다.강의 수강 완료 후 완료된 강의 접속 시 처음부터 시작 됩니다.,3417,2026-01-04 02:06:36,closed,0,학습/과제,답변 가능,FAQ 또는 가이드 문서 기반 답변 가능,높음,FAQ 데이터베이스 | 과거 문의 답변 히스토리 | 강의 커리큘럼 정보 | 과제 제출 규정 및 가이드 | 코드 예제 및 샘플 | 학습 자료 링크 | 첨부 이미지 분석 (스크린샷 내용 파악),False,unknown,N/A,N/A,False,False,Korean,False,,1,0
30,"AI Bootcamp, AI Master Project 비활성화인데 활성화가 되려면 어떻게 해야 하나요 ? ","AI Bootcamp, AI Master Project 비활성화인데 활성화가 되려면 어떻게 해야 하나요 ?",3600,2026-01-05 00:11:46,closed,0,계정/권한,답변 가능,"유사 사례 존재, 명확한 가이드라인 제공 가능",높음,"FAQ 데이터베이스 | 과거 문의 답변 히스토리 | 사용자 계정 정보 (권한, 그룹, 인증 대상 여부) | 인증 시험 일정 및 대상자 정보 | 사용자별 활성화된 기능 목록 | 첨부 이미지 분석 (스크린샷 내용 파악)",True,False,단순_조치_완료,"과거 응답 참조하여 ""조치 완료"" 패턴 유지 가능, 단 Agent는 실제 조치 불가능하므로 운영자 에스컬레이션 필요",False,False,Korean,False,안녕하세요.AI Bootcamp는 HI SK > AX College를 통해 신청받고 있습니다. AI Master Project는 AX Culture&Growth팀을 통해 신청받고 ,1,1
31,실습인증 Literacy가 언제 활성화 되나요 ?,"생성형 AI 이해 1,  Prompt Eng 2,  생성형 AI 활용사례 3 강의 완료 후에 하루지나면 인증시험이 활성화가 되는 줄 알고 기다렸는데요. 다음날 되도 계속 상태가 변경이 되지 않아서요. 어떻게 해야 활성화가 되나요 ?",3600,2026-01-05 00:15:31,closed,0,계정/권한,답변 가능,"유사 사례 존재, 명확한 가이드라인 제공 가능",높음,"FAQ 데이터베이스 | 과거 문의 답변 히스토리 | 사용자 계정 정보 (권한, 그룹, 인증 대상 여부) | 인증 시험 일정 및 대상자 정보 | 사용자별 활성화된 기능 목록 | 첨부 이미지 분석 (스크린샷 내용 파악)",True,False,단순_조치_완료,"과거 응답 참조하여 ""조치 완료"" 패턴 유지 가능, 단 Agent는 실제 조치 불가능하므로 운영자 에스컬레이션 필요",False,False,Korean,False,안녕하세요.AI Literacy 인증 시작하기 버튼은 인증 시험 응시자 대상으로 응시 기간 내 활성화됩니다.AX College에서 신청하실 수 있습니다.,1,1
32,[실습/인증] AI Literacy 인증시험 사전 연습,인증시험 사전연습 버튼을 잘못 눌러서 횟수 차감이 되었는데 해당건 횟수 복구가 가능할지요?,1882,2026-01-05 01:45:18,closed,0,계정/권한,답변 불가능,개인 계정 확인 및 시스템 조치 필요,높음,"FAQ 데이터베이스 | 과거 문의 답변 히스토리 | 사용자 계정 정보 (권한, 그룹, 인증 대상 여부) | 인증 시험 일정 및 대상자 정보 | 사용자별 활성화된 기능 목록 | 첨부 이미지 분석 (스크린샷 내용 파악)",True,False,단순_조치_완료,"과거 응답 참조하여 ""조치 완료"" 패턴 유지 가능, 단 Agent는 실제 조치 불가능하므로 운영자 에스컬레이션 필요",False,False,Korean,False,해당 건에 대해 복구해드렸습니다.,1,1
33,AI Bootcamp 수강불가 문의,"AI Bootcamp lv2에 대해 '결과확인' 버튼을 누르니 ""아쉽게도 이번 부트캠프 과정을 수료하지 못하셨습니다."" 라고 화면이 표시됩니다재수강을 원할 경우 원하는 수강 회차에 재수강 해야하나요?",3710,2026-01-05 09:16:11,closed,0,계정/권한,답변 불가능,개인 계정 확인 및 시스템 조치 필요,높음,"FAQ 데이터베이스 | 과거 문의 답변 히스토리 | 사용자 계정 정보 (권한, 그룹, 인증 대상 여부) | 인증 시험 일정 및 대상자 정보 | 사용자별 활성화된 기능 목록 | 첨부 이미지 분석 (스크린샷 내용 파악)",True,False,단순_조치_완료,"과거 응답 참조하여 ""조치 완료"" 패턴 유지 가능, 단 Agent는 실제 조치 불가능하므로 운영자 에스컬레이션 필요",False,False,Korean,False,안녕하세요.재수강의 경우 AX College에서 직접 신청 후 재수강 가능합니다.,1,1
34,AI Literacy 인증시험 사전 연습 관련 문의,인증시험 사전연습 버튼을 잘못 눌러서 횟수 차감이 되었는데 복구 가능한지 문의 드립니다.,1467,2026-01-05 12:27:34,closed,0,계정/권한,답변 가능,"유사 사례 존재, 명확한 가이드라인 제공 가능",높음,"FAQ 데이터베이스 | 과거 문의 답변 히스토리 | 사용자 계정 정보 (권한, 그룹, 인증 대상 여부) | 인증 시험 일정 및 대상자 정보 | 사용자별 활성화된 기능 목록 | 첨부 이미지 분석 (스크린샷 내용 파악)",True,False,단순_조치_완료,"과거 응답 참조하여 ""조치 완료"" 패턴 유지 가능, 단 Agent는 실제 조치 불가능하므로 운영자 에스컬레이션 필요",False,False,Korean,False,안녕하세요.1회에 대해 복구 완료했습니다. 이후 리터러시 인증 시험 신청 시 실습 횟수가 추가 부여되니 참고 부탁드립니다.,1,1
