inquiry_id,title,content_preview,label,label_kr,should_respond,strategy,action,rationale
9,문의하기 작성 가이드,"안녕하세요.AI Talent Lab 운영 담당자입니다.AI Literacy, AI Bootcamp, AI Master Project 를 진행하는 과정에서문의주시는 내용들을 자산화하고 함께 공유하기 위해""문의하기"" 페이지를 신규 개설하였습니다.이에 빠른 답변 및 조치를 ",COURSE_INFO,강의/수강 안내,True,prompt_direct,FAQ에서 직접 답변,"정적인 정보, FAQ로 충분"
11,인증시험 버튼이 비활성화 되어있습니다. ,인증 시작하기 버튼이 비활성화 되어 인증시험을 칠 수없습니다.,ACCOUNT_ACTION_REQUIRED,개인 계정 조치 필요,False,no_response,운영자 티켓 자동 생성 + 안내 메시지,"개인 계정 DB 직접 조작 필요, Agent 권한 없음"
12,[AI Literacy] 인증 시작하기 버튼 비활성화,[AI Literacy] 인증 시작하기 버튼 활성화가 안됩니다.확인 부탁드립니다.,ACCOUNT_ACTION_REQUIRED,개인 계정 조치 필요,False,no_response,운영자 티켓 자동 생성 + 안내 메시지,"개인 계정 DB 직접 조작 필요, Agent 권한 없음"
13,console 접근/python script 실행이 안됩니다.,위와 같은 에러가 나오면서 파일 실행이 안됩니다.모든 파이썬 코드 작성 부분에서 동일한 에러가 나옵니다.,PLATFORM_SYSTEM_ERROR,플랫폼 시스템 에러,False,no_response,운영자 티켓 자동 생성 (우선순위: 높음),"플랫폼 백엔드 문제, 시스템 로그 확인 및 긴급 조치 필요"
14,[Boot Camp] 최종 과제 제출 관련 문의 - 2단계(개발 명세서) 저장 이후 수정 가능 여부,"최종 과제 단계에서 1,2,3 단계가 있는데, 2단계(명세서)를 제출하고 3단계(코딩/개발)로 넘어가도.이후에 돌아와서 다시 수정 할 수 있나요?3단계 가이드/설명을 미리 보고 싶어서 문의 드립니다.",SUBMISSION_POLICY,과제 제출 규정,True,prompt_direct,FAQ에서 직접 답변,"명확한 정책, 과거 답변 일관됨"
15,Azure OpenAI & LangChain 과제 개발 문의,과제 개발 관련 문의 드립니다.main.py 작성하여 실행하니 No such file or directory 라고 나오네요.콘솔 로그의 다음 로그로 보아 초기에 폴더가 제대로 생성이 안된듯 보입니다.-bash: /home/funnywork.0181/.bash_profi,ASSIGNMENT_DEVELOPMENT,과제 개발 방법 문의,True,tool_rag,RAG로 유사 과제 검색 + Tool로 코드 예시 생성,"개별 과제마다 다름, 과거 사례 및 예시 필요"
16,[Boot Camp] RAG 강의 Generation - Retriever 관련 질문,"마지막 코드 부분의 retriever.invoke 라는 함수가 없이, 그냥 retriever 객체만 Prompt 아래 context 쪽에 넣어주면, langchain이 자동으로 invoke를 하고 해당 내용을 종합해서 답변을 하는 구조인가요?",COURSE_INFO,강의/수강 안내,True,prompt_direct,FAQ에서 직접 답변,"정적인 정보, FAQ로 충분"
17,[Bootcamp] 9기 최종과제 평가결과,안녕하세요.AI Bootcamp 9기 평가 결과를 언제쯤 확인할 수 있는지 문의드립니다.,UNCATEGORIZED,미분류 (검토 필요),False,no_response,운영자 검토,"명확한 분류 불가, 안전하게 운영자에게"
18,AI Literacy의 인증 시작하기 버튼 비활성화,AI Literacy의 인증 시작하기 버튼 비활성화되어 있습니다.,ACCOUNT_ACTION_REQUIRED,개인 계정 조치 필요,False,no_response,운영자 티켓 자동 생성 + 안내 메시지,"개인 계정 DB 직접 조작 필요, Agent 권한 없음"
19,[Boot Camp] Sub-Graph 구조 관련 문의,"최근 멀티 에이전트 워크플로우를 학습하며, 공통 로직을 agent.py로 추상화하는 방식을 익혔습니다. 하지만 실제 프로젝트에서는 PDF 파싱, 요약, RAG 등 각 에이전트가 서로 다른 복잡도의 Sub-graph를 가져야 하는 경우가 많습니다.이처럼 에이전트별로 내부",UNCATEGORIZED,미분류 (검토 필요),False,no_response,운영자 검토,"명확한 분류 불가, 안전하게 운영자에게"
20,IDE 사용법 가이드 부탁드립니다.,Azure Open AI & LangChain 과제 진행하고 있는데 IDE 환경에서 실행시키는 방법과 에러 Tracking 방법 설명이 필요합니다.Streamlit에 아무것도 안 나오면 무엇이 잘못되었는지Streamlit에 출력하려면 어떻게 하는지도 궁금합니다.,SERVICE_GUIDE,서비스 이용 가이드,True,prompt_direct,FAQ 또는 공지사항 링크 제공,"정적 문서, 링크 제공으로 충분"
21,과제 수정중 아래와 같은 현상이 발생 했습니다 .  확인 부탁드립니다 . ,,UNCATEGORIZED,미분류 (검토 필요),False,no_response,운영자 검토,"명확한 분류 불가, 안전하게 운영자에게"
22,[Boot Camp] 무한 로딩이 되고 있습니다 - 파이널 과제 제출,"IDE에서 파이썬 패키지가 제 로컬에서 작업하던 것과 달라서 venv deactivate 시키고, 따로 .venv를 만들고 패키지 설치후 실행한 이후에 무한 로딩이 걸리고 있습니다.로컬에서는 잘 돌아가서 step 3에서는 코드만 제출하고 step2에서 데모 영상으로 제",SUBMISSION_POLICY,과제 제출 규정,True,prompt_direct,FAQ에서 직접 답변,"명확한 정책, 과거 답변 일관됨"
23,Bootcamp 최종과제 기획 및 설계 최초 양식 문의,AI Bootcamp 최종과제 기획 및 설계 최초 양식을 다시 받을 수 있을지 문의드립니다.작성중에 저장을 했는데 일부 내용이 삭제되어 양식 초본이 필요합니다.감사합니다.,SUBMISSION_POLICY,과제 제출 규정,True,prompt_direct,FAQ에서 직접 답변,"명확한 정책, 과거 답변 일관됨"
24,3개의 강의를 완료하면 과제를 시작할 수 있다고 했는데 안되요,3개의 강의를 완료하면 과제를 시작할 수 있습니다라고 되어있는데 3개 강의 모두 완료했는데 과제를 할 수 있게 활성화가 안되네요?다 들어야 되나요?,COURSE_INFO,강의/수강 안내,True,prompt_direct,FAQ에서 직접 답변,"정적인 정보, FAQ로 충분"
25,streamlit 서비스 개발 강의 중 실습 실행이 안됩니다. --> [정정] 재실행 시 정상 실행됩니다.,환경의 문제인지는 잘 모르겠지만 오후까지 안되다가지금은 정상적으로 동작합니다.아래 내용 답변 안 주셔도 됩니다.---------------------------------------[실습] LangChain과 Streamlit으로 구현하는 AI 토론 코드를 실행시키면 ,COURSE_INFO,강의/수강 안내,True,prompt_direct,FAQ에서 직접 답변,"정적인 정보, FAQ로 충분"
